codigo;capitulo;titulo;unidad;mano_obra;horas_oficial_por_unidad;horas_ayudante_por_unidad;horas_persona_por_unidad;horas_equipo_por_unidad;recursos;recursos_provisionales_ve;codigos_provisionales_ve;coste_directo_ve_usd;precio_venta_ve_usd;descripcion_caracteres;codigo_legacy;apu_duplicado
01.01.01.010;01;Desconexión de instalación eléctrica existente.;ud;MO-OF1-ELE · electricidad · 0.8000 h/ud | MO-AYU · apoyo general de obra · 0.4000 h/ud;0.8000;0.4000;1.2000;0.1500;4;2;MQ-DETECTOR,MT-CONS-DEM;6.47;8.42;216;;
01.01.01.020;01;Desconexión de instalación de agua.;ud;MO-OF1-PLO · plomería · 0.6000 h/ud | MO-AYU · apoyo general de obra · 0.3000 h/ud;0.6000;0.3000;0.9000;0.0000;4;1;MT-CONS-DEM;9.11;11.84;177;;
01.01.01.030;01;Desconexión de instalación de gas.;ud;MO-OF1-PLO · plomería · 0.7000 h/ud | MO-AYU · apoyo general de obra · 0.3500 h/ud;0.7000;0.3500;1.0500;0.0000;4;1;MT-CONS-DEM;10.14;13.18;180;;
01.01.01.040;01;Desconexión de equipo de aire acondicionado.;ud;MO-OF1-AC · refrigeración y climatización · 0.8000 h/ud | MO-AYU · apoyo general de obra · 0.4000 h/ud;0.8000;0.4000;1.2000;0.3000;4;2;MQ-RECUP-GAS,MT-CONS-DEM;8.05;10.46;162;;
01.01.02.010;01;Cierre y bloqueo de suministro eléctrico.;ud;MO-OF1-ELE · electricidad · 0.5000 h/ud | MO-AYU · apoyo general de obra · 0.2500 h/ud;0.5000;0.2500;0.7500;0.1000;4;2;MQ-DETECTOR,MT-CONS-DEM;4.03;5.25;156;;
01.01.02.020;01;Cierre y drenaje de instalación de agua.;ud;MO-OF1-PLO · plomería · 0.5000 h/ud | MO-AYU · apoyo general de obra · 0.2500 h/ud;0.5000;0.2500;0.7500;0.2000;4;2;MQ-BOMBA-ACHI,MT-CONS-DEM;4.28;5.56;149;;
01.01.02.030;01;Aislamiento de servicio de gas existente.;ud;MO-OF1-PLO · plomería · 0.6000 h/ud | MO-AYU · apoyo general de obra · 0.3000 h/ud;0.6000;0.3000;0.9000;0.0000;4;1;MT-CONS-DEM;9.37;12.19;158;;
01.02.01.010;01;Cata en pared para reconocimiento de instalaciones o soporte.;ud;MO-OF1-ALB · albañilería · 0.4200 h/ud | MO-AYU · apoyo general de obra · 0.3000 h/ud;0.4200;0.3000;0.7200;0.4800;8;4;MQ-ASPIR,MQ-DETECTOR,MQ-MART-ELEC,MT-CONS-DEM;6.32;8.22;552;CT-01-04-010;
01.02.01.020;01;Cata en piso o losa para reconocimiento de capas o instalaciones.;ud;MO-OF1-ALB · albañilería · 0.5500 h/ud | MO-AYU · apoyo general de obra · 0.4000 h/ud;0.5500;0.4000;0.9500;0.8200;9;5;MQ-AMOLA,MQ-ASPIR,MQ-DETECTOR,MQ-MART-ELEC,MT-CONS-DEM;9.63;12.52;565;CT-01-04-020;
01.02.01.030;01;Detección no destructiva de instalaciones empotradas.;m²;MO-OF1-ALB · albañilería · 0.1300 h/m²;0.1300;0.0000;0.1300;0.1300;3;2;MQ-DETECTOR,MT-CINTA-ENM;1.11;1.45;556;CT-01-04-030;
