Capítulo;Partida;Descripción;Unidad;Cantidad;Precio unitario;Categoría;Tipo
Trabajos preliminares y provisionales;Protección de piso terminado durante la ejecución de la obra.;Protección de piso existente que permanece, mediante cartón corrugado en rollo solapado y fijado con cinta en las juntas, colocado sobre lámina de polietileno cuando exista riesgo de humedad. Se emplea en reformas parciales donde el piso de las áreas que no se intervienen debe entregarse intacto. Incluye la limpieza previa de la superficie, el extendido y solape del material, el sellado de juntas y del perímetro contra el rodapié, la reposición de las zonas que se deterioren durante la obra, y el retiro y desecho de la protección al finalizar los trabajos. Medido en superficie realmente protegida.;m2;1;1,43;Protecciones y cerramientos provisionales;incluida
Trabajos preliminares y provisionales;Protección de mobiliario y equipos con lámina plástica.;Protección de mobiliario, electrodomésticos y equipos que permanecen en el inmueble durante la obra, mediante lámina de polietileno fijada con cinta. Incluye el agrupamiento previo del mobiliario en la zona más alejada del frente de trabajo, su cubrición completa con lámina solapada, el sellado con cinta para impedir la entrada de polvo, la revisión periódica de la protección mientras dure la obra y su retiro y desecho al finalizar. Medido en superficie de mobiliario realmente protegida.;m2;1;0,92;Protecciones y cerramientos provisionales;incluida
Trabajos preliminares y provisionales;Barrera antipolvo con lámina plástica y cierre de paso.;Barrera provisional de confinamiento de polvo entre la zona de obra y las áreas en uso, formada por bastidor de listón de madera y lámina de polietileno tensada y sellada en todo su perímetro contra piso, paredes y techo, con cierre tipo cremallera para el paso del personal. Es la medida que permite trabajar en un ambiente mientras el resto del inmueble sigue habitado u operativo. Incluye el replanteo, el montaje del bastidor, la colocación y sellado de la lámina, el montaje del cierre de paso, el mantenimiento de la barrera durante la obra y su desmontaje y retiro al finalizar. Medido en superficie de barrera realmente ejecutada.;m2;1;8,67;Protecciones y cerramientos provisionales;incluida
Trabajos preliminares y provisionales;Cerramiento provisional de vano con lámina de madera.;Cerramiento provisional de vano de puerta o ventana mediante lámina de madera contrachapada u OSB sobre bastidor de listón, anclada al vano. Se emplea para cerrar huecos abiertos por demolición o desmontaje de carpintería, protegiendo el interior frente a la intemperie y frente a intrusiones mientras llega la carpintería definitiva. Incluye el replanteo y corte de la lámina, el montaje del bastidor, la fijación al vano con tacos, el sellado perimetral, su mantenimiento durante la obra y el desmontaje al colocar la carpintería definitiva. Medido en superficie de vano realmente cerrada.;m2;1;24,66;Protecciones y cerramientos provisionales;incluida
Trabajos preliminares y provisionales;Cerramiento perimetral provisional de obra con malla de señalización.;Cerramiento provisional del perímetro de la zona de obra mediante malla plástica de señalización sostenida por parales metálicos o de madera, con señalización de advertencia. Delimita el área de trabajo e impide el paso de personas ajenas, requisito básico de seguridad cuando la obra convive con zonas en uso o da a espacios comunes. Incluye el replanteo, la colocación y arriostramiento de los parales, el tensado y fijación de la malla, la colocación de las señales de advertencia, el mantenimiento durante la obra y el desmontaje y retiro al finalizar. Medido en longitud realmente cerrada.;m;1;5,08;Protecciones y cerramientos provisionales;incluida
Trabajos preliminares y provisionales;Protección de carpintería y aparatos que permanecen en obra.;Protección de puertas, ventanas, aparatos sanitarios y elementos terminados que permanecen dentro de la zona de trabajo, mediante lámina plástica y cartón fijados con cinta de baja adherencia que no deje residuo ni dañe los acabados. Incluye el enmascarado de marcos, herrajes y vidrios, la cubrición de los aparatos sanitarios que siguen en servicio, la reposición de la protección deteriorada y su retiro y limpieza al finalizar la obra. Medido en superficie realmente protegida.;m2;1;1,29;Protecciones y cerramientos provisionales;incluida
Trabajos preliminares y provisionales;Traslado y acopio protegido del mobiliario del cliente.;Traslado del mobiliario y enseres del cliente desde la zona de obra hasta un ambiente de acopio dentro del mismo inmueble, con su protección y su devolución al finalizar. En reforma de vivienda habitada es una tarea real que consume jornadas y que casi nunca se presupuesta, de modo que sale del bolsillo del constructor. Incluye el desmontaje de lo que lo requiera, el traslado con protección de pisos y esquinas en el recorrido, el apilado ordenado y cubierto en la zona de acopio, y el traslado de vuelta y montaje al terminar. Medido en superficie realmente ejecutada.;m2;1;2,67;Protecciones y cerramientos provisionales;incluida
Trabajos preliminares y provisionales;Protección de fachada con malla de obra.;Colocación de malla de protección en la fachada o en el andamio, para retener la caída de material y polvo hacia la vía pública o hacia las propiedades vecinas. Es exigible siempre que se trabaje en altura sobre zonas de paso, y su ausencia es motivo habitual de paralización por parte de la autoridad municipal. Incluye el izado, el tendido de los paños solapados, su atado a la estructura del andamio en todo el perímetro, la revisión periódica de amarres tras episodios de viento y el desmontaje. Medido en superficie realmente ejecutada.;m2;1;3,03;Protecciones y cerramientos provisionales;incluida
Trabajos preliminares y provisionales;Puerta provisional de acceso a la zona de obra.;Montaje de puerta provisional con cierre en el acceso a la zona de obra, para separar el área de trabajo de la zona en uso y controlar el acceso. Incluye el bastidor, el forro con lámina de madera, las bisagras y el cierre con candado, la banda de sellado perimetral que impide el paso de polvo, la señalización de acceso restringido y el desmontaje al finalizar. Medido por unidad instalada.;ud;1;91,31;Protecciones y cerramientos provisionales;incluida
Trabajos preliminares y provisionales;Andamio tubular de fachada, montaje, alquiler mensual y desmontaje.;Andamio tubular metálico apoyado en fachada, con plataformas de trabajo, barandas, rodapiés y escalera interior de acceso, incluido su montaje, el primer mes de permanencia y su desmontaje. Incluye el estudio previo del apoyo y del arriostramiento a fachada, el montaje por personal competente, la colocación de las protecciones colectivas, la revisión del conjunto antes de la puesta en servicio y tras cualquier modificación, el desmontaje ordenado y el retiro del material. No incluye la permanencia adicional más allá del primer mes, que se valora en la partida siguiente. Medido en superficie de fachada realmente cubierta por el andamio.;m2;1;10,97;Andamios y medios de elevación;incluida
Trabajos preliminares y provisionales;Permanencia adicional de andamio de fachada, por mes.;Permanencia de andamio tubular de fachada más allá del primer mes ya incluido en la partida de montaje, con las revisiones periódicas del conjunto que exige mantenerlo en servicio. Incluye la inspección mensual de apoyos, arriostramientos, plataformas y protecciones colectivas, el reapriete de uniones, la reposición de los elementos deteriorados y el registro de las revisiones. Medido en superficie de andamio por cada mes adicional de permanencia.;m2;1;2,59;Andamios y medios de elevación;incluida
Trabajos preliminares y provisionales;Andamio interior móvil o sobre borriquetas.;Andamio interior rodante o plataforma sobre borriquetas para trabajos en altura en interiores, tales como cielos rasos, frisos de pared alta y pintura. Incluye el traslado del equipo a obra, su montaje y nivelación, la colocación de barandas cuando la altura de trabajo lo exija, los desplazamientos y ajustes de altura sucesivos a lo largo de la jornada, el desmontaje y el retiro. Medido en superficie de techo o de paramento realmente atendida desde el andamio.;m2;1;1,81;Andamios y medios de elevación;incluida
Trabajos preliminares y provisionales;Montacargas o pluma de obra para bajada de material, por mes.;Puesta a disposición de montacargas o pluma de obra para el descenso de escombro y la subida de materiales en obras en planta alta, incluido un mes de permanencia. Incluye el traslado del equipo, su montaje y anclaje, la verificación de la carga máxima admisible y del punto de apoyo, la señalización y acordonamiento de la zona de descarga, la revisión periódica de cables y frenos, el desmontaje y el retiro. Medido por mes de permanencia del equipo en obra.;ud;1;155,60;Andamios y medios de elevación;incluida
Trabajos preliminares y provisionales;Andamio colgante o silleta para trabajos en fachada.;Puesta a disposición de andamio colgante o silleta suspendida para trabajos puntuales en fachada donde no se justifica el montaje de andamio tubular. Su seguridad depende por completo de los puntos de anclaje en cubierta y del uso obligatorio de línea de vida independiente del equipo de suspensión, requisito que no admite excepción. Incluye el estudio y ejecución de los anclajes, el montaje del equipo, la prueba de carga previa, la revisión diaria de cables y frenos, el uso durante el periodo y el desmontaje. Medido en superficie realmente ejecutada.;m2;1;8,67;Andamios y medios de elevación;incluida
Trabajos preliminares y provisionales;Apeo de losa con puntales metálicos y durmientes de reparto.;Apeo provisional de losa mediante puntales metálicos telescópicos sobre durmientes de reparto en cabeza y base, para sostener la estructura mientras se ejecutan demoliciones, aperturas de hueco o refuerzos. Su ejecución debe responder a un cálculo o a la instrucción expresa del profesional responsable, que define la separación y la carga de los puntales. Incluye el replanteo de la retícula de apeo, la colocación de los durmientes, el montaje y puesta en carga de los puntales sin forzar la estructura, la verificación de la verticalidad y del apoyo, el mantenimiento y revisión durante los trabajos y el desapeo escalonado una vez alcanzada la resistencia prevista. Medido en superficie de losa realmente apeada.;m2;1;19,21;Apeos y apuntalamientos;incluida
