capitulo;capitulo_nombre;codigo;nombre;estado;partidas_actuales;apartados_actuales;objetivo_minimo;objetivo_amplio;brecha_minima;brecha_amplia;operaciones_requeridas;variaciones_requeridas
01;Actuaciones previas;01.01;Desconexión y aislamiento de servicios existentes;avanzada;7;2;11;18;4;11;inspeccion | proteccion | montaje | permanencia | desmontaje | reposicion;elemento_protegido | altura | duracion | acceso | medio_auxiliar
01;Actuaciones previas;01.02;Inspecciones, levantamientos, catas y diagnóstico;completa;14;1;13;22;0;8;inspeccion | proteccion | montaje | permanencia | desmontaje | reposicion;elemento_protegido | altura | duracion | acceso | medio_auxiliar
01;Actuaciones previas;01.03;Protección de elementos existentes;completa;17;1;14;24;0;7;inspeccion | proteccion | montaje | permanencia | desmontaje | reposicion;elemento_protegido | altura | duracion | acceso | medio_auxiliar
01;Actuaciones previas;01.04;Cerramientos, barreras de polvo y control de accesos;avanzada;7;2;11;19;4;12;inspeccion | proteccion | montaje | permanencia | desmontaje | reposicion;elemento_protegido | altura | duracion | acceso | medio_auxiliar
01;Actuaciones previas;01.05;Andamios y medios de elevación;completa;15;1;13;22;0;7;inspeccion | proteccion | montaje | permanencia | desmontaje | reposicion;elemento_protegido | altura | duracion | acceso | medio_auxiliar
01;Actuaciones previas;01.06;Apeos, apuntalamientos y estabilización provisional;completa;14;1;13;22;0;8;inspeccion | proteccion | montaje | permanencia | desmontaje | reposicion;elemento_protegido | altura | duracion | acceso | medio_auxiliar
01;Actuaciones previas;01.07;Replanteos y control geométrico;avanzada;11;1;12;21;1;10;inspeccion | proteccion | montaje | permanencia | desmontaje | reposicion;elemento_protegido | altura | duracion | acceso | medio_auxiliar
01;Actuaciones previas;01.08;Instalaciones provisionales y servicios de obra;completa;15;1;13;22;0;7;inspeccion | proteccion | montaje | permanencia | desmontaje | reposicion;elemento_protegido | altura | duracion | acceso | medio_auxiliar
02;Demoliciones y desmontajes;02.01;Fundaciones;avanzada;18;1;21;34;3;16;desmontaje_con_recuperacion | desmontaje_sin_recuperacion | demolicion_manual | demolicion_mecanica | carga | retiro;material | espesor | medio_manual_mecanico | recuperacion | altura | carga
02;Demoliciones y desmontajes;02.02;Estructuras;completa;21;1;21;34;0;13;desmontaje_con_recuperacion | desmontaje_sin_recuperacion | demolicion_manual | demolicion_mecanica | carga | retiro;material | espesor | medio_manual_mecanico | recuperacion | altura | carga
02;Demoliciones y desmontajes;02.03;Fachadas;completa;21;1;21;34;0;13;desmontaje_con_recuperacion | desmontaje_sin_recuperacion | demolicion_manual | demolicion_mecanica | carga | retiro;material | espesor | medio_manual_mecanico | recuperacion | altura | carga
02;Demoliciones y desmontajes;02.04;Paredes y particiones;completa;21;1;21;34;0;13;desmontaje_con_recuperacion | desmontaje_sin_recuperacion | demolicion_manual | demolicion_mecanica | carga | retiro;material | espesor | medio_manual_mecanico | recuperacion | altura | carga
02;Demoliciones y desmontajes;02.05;Carpintería, herrería, vidrios y protección solar;completa;21;1;21;34;0;13;desmontaje_con_recuperacion | desmontaje_sin_recuperacion | demolicion_manual | demolicion_mecanica | carga | retiro;material | espesor | medio_manual_mecanico | recuperacion | altura | carga
02;Demoliciones y desmontajes;02.06;Remates y elementos auxiliares;avanzada;18;1;21;34;3;16;desmontaje_con_recuperacion | desmontaje_sin_recuperacion | demolicion_manual | demolicion_mecanica | carga | retiro;material | espesor | medio_manual_mecanico | recuperacion | altura | carga
