codigo;grupo;descripcion;unidad;precio_actual;moneda;estado;partidas_que_lo_usan;peso_en_catalogo_usd;precio_nuevo;notas
MT-CONC-250;materiales;Concreto premezclado de resistencia 250 kg/cm2, puesto en obra.;m3;118.0000;USD;verificado-mercado;18;1251.98;;
MT-CONC-210;materiales;Concreto premezclado de resistencia 210 kg/cm2, puesto en obra.;m3;108.0000;USD;verificado-mercado;23;583.52;;
MT-EPOXI-ANCLA;materiales;Resina epóxica bicomponente para anclaje químico de barras y para inyección de fisuras.;l;95.0000;USD;verificado-mercado;14;403.27;;
MT-MELAMINA;materiales;Tablero de melamina de 18 mm con cantos aplicados, para closets y muebles.;m2;19.0000;USD;verificado-mercado;10;364.61;;
MT-HERRAJE-CLOSET;materiales;Herraje de closet: bisagra, tirador, soporte de entrepaño y tornillería.;ud;4.5000;USD;verificado-mercado;11;344.25;;
MT-MADERA-EST;materiales;Madera estructural aserrada y cepillada, de escuadría según proyecto.;m3;285.0000;USD;verificado-mercado;4;319.77;;
MQ-MART-NEUM;maquinaria;Martillo neumático con compresor de aire, para demolición de concreto y pisos de alta dureza.;h;12.0000;USD;provisional;12;249.00;;
MT-PERNO-ANCLA;materiales;Perno de anclaje de acero con tuerca y arandela, para fijación de placa base.;ud;2.2000;USD;verificado-mercado;31;243.54;;
MT-PERFIL-ALUM;materiales;Perfil de aluminio para carpintería de ventanas y puertas, con sus accesorios.;kg;9.5000;USD;verificado-mercado;6;230.85;;
MT-ACERO-CAB;materiales;Acero de refuerzo en cabillas corrugadas, límite elástico 4.200 kg/cm2, cortado y doblado.;kg;1.2000;USD;verificado-mercado;33;225.23;;
MT-ELE-PROV;materiales;Cable encauchetado para instalación eléctrica provisional de obra.;m;4.2000;USD;verificado-mercado;5;221.13;;
MT-GABINETE-MANG;materiales;Gabinete contra incendios con manguera, válvula y boquilla.;ud;200.0000;USD;verificado-mercado;1;200.00;;
MT-FORM-MADERA;materiales;Encofrado de madera con sus puntales y arriostramientos, amortizado por número de usos.;m2;5.4000;USD;verificado-mercado;26;189.00;;
MT-BLQ-VIDRIO;materiales;Bloque de vidrio de 19x19x8 cm, con sus separadores y refuerzo de junta.;ud;6.9000;USD;verificado-mercado;1;179.40;;
MT-TUBO-ACERO;materiales;Tubo estructural de acero para herrería de rejas, portones y barandas.;kg;1.9500;USD;verificado-mercado;6;172.38;;
MT-CABLE-8;materiales;Conductor de cobre THW calibre 8 AWG para acometidas y circuitos de fuerza.;m;1.4500;USD;verificado-mercado;9;167.04;;
MT-MADERA-LISTON;materiales;Listón de madera de obra para bastidores, marcos de cerramiento provisional y rastreles.;m;1.9500;USD;verificado-mercado;28;152.49;;
MQ-RETRO;maquinaria;Retroexcavadora o minicargadora con martillo hidráulico y operador.;h;35.0000;USD;provisional;19;150.92;;
MT-MORT-REP-EST;materiales;Mortero tixotrópico de reparación estructural, de retracción compensada y con inhibidor de corrosión.;kg;2.4000;USD;verificado-mercado;1;148.80;;
MT-TABIQUE-MOVIL;materiales;Sistema de tabique móvil o plegable, con paneles, riel y herrajes.;m2;135.0000;USD;provisional;1;139.05;;
MT-VIDRIO-TEMP;materiales;Vidrio templado de seguridad de 10 mm, con cantos pulidos y perforaciones.;m2;68.0000;USD;verificado-mercado;2;138.72;;
MT-SELLA-ELAST;materiales;Sellador elástico de poliuretano para juntas de movimiento y encuentros.;l;32.0000;USD;verificado-mercado;41;132.16;;
MT-LAMINA-OSB;materiales;Lámina de madera contrachapada u OSB para cerramiento provisional de vanos y protecciones rígidas.;m2;10.5000;USD;verificado-mercado;4;123.90;;
MT-BREAKER;materiales;Interruptor termomagnético monopolar o bipolar para protección de circuito.;ud;7.5000;USD;verificado-mercado;9;120.00;;
MT-CASETA-BIEN;materiales;Adecuación de zona de vestuario y comedor de obra, con mobiliario básico.;ud;120.0000;USD;provisional;1;120.00;;
MQ-MONTAC;maquinaria;Montacargas o pluma de obra para bajada de material desde plantas altas.;h;9.5000;USD;provisional;33;114.47;;
MT-SILICONA-EST;materiales;Silicona estructural o neutra para acristalamiento y sellado de carpintería.;l;48.0000;USD;verificado-mercado;12;112.32;;
MT-SENAL-OBRA;materiales;Señal de advertencia, cinta de peligro y conos de delimitación de obra.;ud;5.5000;USD;verificado-mercado;19;112.20;;
MT-VALV-CHECK;materiales;Válvula de retención y válvula de compuerta para instalación de bombeo.;ud;14.0000;USD;verificado-mercado;5;112.00;;
MT-MARCO-PUERTA;materiales;Marco de puerta de madera o metálico, con sus topes y anclajes.;m;7.0000;USD;verificado-mercado;3;110.60;;
MT-ACERO-INOX;materiales;Tubo y accesorios de acero inoxidable para barandas y pasamanos.;kg;14.0000;USD;verificado-mercado;2;109.20;;
MT-CERRADURA;materiales;Cerradura de embutir con manija y cilindro.;ud;32.0000;USD;verificado-mercado;4;107.20;;
MT-PERFIL-ACERO;materiales;Perfil estructural de acero laminado, suministrado cortado a medida.;kg;1.9500;USD;verificado-mercado;9;105.69;;
MT-VIDRIO-6;materiales;Vidrio flotado incoloro de 6 mm.;m2;20.0000;USD;verificado-mercado;5;101.00;;
MT-TABLERO-DIST;materiales;Tablero de distribución empotrable con barraje, para el número de circuitos de proyecto.;ud;48.0000;USD;verificado-mercado;2;96.00;;
MT-GROUT;materiales;Grout fluido de alta resistencia y retracción compensada, para nivelación de apoyos y relleno de placas base.;kg;2.2000;USD;verificado-mercado;3;92.40;;
MT-ACC-BOMBA;materiales;Accesorios de conexión de bomba: uniones universales, manómetro, niples y soportes.;ud;28.0000;USD;provisional;2;84.00;;
MT-TRAMPA-GRASA;materiales;Trampa de grasa prefabricada con su tapa y conexiones.;ud;78.0000;USD;provisional;1;78.00;;
MT-DOMO;materiales;Domo o claraboya de policarbonato o acrílico con su zócalo y herrajes.;ud;72.0000;USD;verificado-mercado;1;72.00;;
MT-REGUL-GAS;materiales;Regulador de presión, llave de corte y accesorios para instalación de gas.;ud;24.0000;USD;provisional;2;72.00;;
MT-APEO;materiales;Puntal metálico telescópico y madera de apeo, con amortización por uso.;ud;2.2000;USD;verificado-mercado;31;66.89;;
MQ-MART-ELEC;maquinaria;Martillo eléctrico de demolición de 5 kg, incluida amortización y consumo.;h;3.9000;USD;provisional;57;66.61;;
MT-PYL-PLACA125;materiales;Placa de yeso laminado estándar de 12,5 mm de espesor, borde afinado.;m2;6.4000;USD;verificado-mercado;8;66.43;;
MT-CONTENEDOR;materiales;Alquiler mensual de contenedor de escombro, incluido su retiro y vaciado.;ud;65.0000;USD;provisional;1;65.00;;
MT-HERRAJE-PUERTA;materiales;Juego de bisagras, topes y herrajes de colgar para puerta.;ud;13.0000;USD;verificado-mercado;5;65.00;;
MT-BLQ-15;materiales;Bloque de concreto hueco de 15x20x40 cm.;ud;0.6200;USD;verificado-mercado;7;64.98;;
MT-PUENTE-ADH;materiales;Puente de adherencia epóxico entre concreto endurecido y concreto o mortero nuevo.;l;20.0000;USD;verificado-mercado;16;63.20;;
MT-ELE-TUB20;materiales;Tubería conduit corrugada de PVC de 20 mm para canalización eléctrica empotrada.;m;0.6200;USD;verificado-mercado;13;62.71;;
MT-RIEL-CORRED;materiales;Riel superior e inferior con carros para puerta corrediza.;m;14.0000;USD;verificado-mercado;2;61.60;;
MT-MALLA-ELEC;materiales;Malla electrosoldada de acero para refuerzo de losas y pisos.;m2;4.6000;USD;verificado-mercado;12;59.71;;
MT-HERRAJE-MAD;materiales;Herraje o conector metálico galvanizado para uniones de estructura de madera.;ud;5.5000;USD;provisional;6;58.02;;
MT-DUCTO-VENT;materiales;Ducto de ventilación flexible o de lámina galvanizada, con sus accesorios.;m;6.5000;USD;verificado-mercado;4;56.94;;
MT-MORT-IMPER;materiales;Mortero impermeabilizante cementoso bicomponente, flexible, para áreas húmedas bajo enchapado.;kg;1.2500;USD;verificado-mercado;10;56.00;;
MT-BANDA-REF;materiales;Banda elástica de refuerzo para encuentros, esquinas y juntas en impermeabilizaciones.;m;2.8000;USD;provisional;16;55.44;;
MQ-BANO-PORT;maquinaria;Alquiler mensual de baño portátil de obra, incluido su mantenimiento y vaciado periódico.;ud;55.0000;USD;provisional;1;55.00;;
MT-ARNES;materiales;Arnés de cuerpo completo con eslinga y absorbedor, para trabajo en altura.;ud;55.0000;USD;provisional;1;55.00;;
MT-YESO-REP;materiales;Yeso o mortero de reparación para el tapado de rozas.;kg;0.5000;USD;verificado-mercado;46;54.52;;
MT-BARRA-TIERRA;materiales;Electrodo de puesta a tierra de cobre con su conector y caja de inspección.;ud;18.0000;USD;provisional;3;54.00;;
MT-FIBRA-CARB;materiales;Tejido de fibra de carbono unidireccional con su resina de saturación, para refuerzo estructural.;m2;48.0000;USD;provisional;1;53.76;;
MT-SIL-SAN;materiales;Cartucho de silicona sanitaria antihongos para sellado de aparatos.;ud;12.0000;USD;verificado-mercado;14;52.20;;
MT-TUB-PPR25;materiales;Tubería de polipropileno PPR de 25 mm para montantes y alimentación principal.;m;2.8000;USD;verificado-mercado;5;50.51;;
MT-MAMPARA-OFI;materiales;Sistema de mampara divisoria de oficina, con perfilería, paneles y juntas.;m2;48.0000;USD;provisional;1;50.40;;
MT-TUB-FRIGO;materiales;Par de tuberías frigoríficas de cobre aisladas, con cable de interconexión.;m;9.8000;USD;provisional;2;49.49;;
MT-EPOXI-PISO;materiales;Resina epóxica bicomponente autonivelante para piso continuo, con su imprimación.;kg;15.0000;USD;verificado-mercado;2;48.75;;
MT-CLAVOS;materiales;Clavos, tornillos y elementos de fijación de uso general en obra.;kg;2.6000;USD;verificado-mercado;59;47.94;;
MT-MORT-AFIRM;materiales;Mortero de cemento y arena para afirmado y capas de nivelación de piso, elaborado en obra, dosificación 1:6.;m3;79.6700;USD;derivado;10;47.01;;
MT-TABLERO-PROV;materiales;Tablero eléctrico provisional de obra con interruptor diferencial y protecciones, amortizado por uso.;ud;45.0000;USD;provisional;1;45.00;;
MQ-ANDAMIO;maquinaria;Andamio tubular o de borriquetas para trabajos en altura, incluido montaje y desmontaje amortizados.;h;1.9000;USD;provisional;86;44.61;;
MT-PIEDRA-PIC;materiales;Piedra picada de granulometría corriente, puesta en obra, para bases y drenajes.;m3;28.0000;USD;verificado-mercado;2;42.56;;
MT-EPP;materiales;Dotación de equipo de protección individual por trabajador: casco, botas, guantes, lentes y chaleco.;ud;42.0000;USD;verificado-mercado;1;42.00;;
MT-SAC-ESC;materiales;Saco de rafia de alta resistencia para retirada manual de escombro.;ud;0.6500;USD;provisional;89;41.80;;
MT-ELE-CABLE;materiales;Conductor de cobre THW calibre 12 AWG, aislamiento 600 V.;m;0.6000;USD;verificado-mercado;13;40.80;;
