codigo_recurso;descripcion;categoria;unidad_fuente;pais_codigo;moneda;precio_referencia;precio_min;precio_max;fuente;fecha_consulta;confianza;incluye_iva;incluye_transporte;origen;observaciones
MO-OF1;Oficial de 1ª.;mano_obra;h;ES;EUR;21;18;25;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; tarifa facturada, no incluye automáticamente cargas del empleador."
MO-OF1-PISO;Oficial de 1ª colocador de pisos.;mano_obra;h;ES;EUR;22;18;26;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; tarifa facturada, no incluye automáticamente cargas del empleador."
MO-OF1-ALI;Oficial de 1ª enchapador.;mano_obra;h;ES;EUR;22;18;26;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; tarifa facturada, no incluye automáticamente cargas del empleador."
MO-OF1-ALB;Oficial de 1ª albañil.;mano_obra;h;ES;EUR;21;18;25;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; tarifa facturada, no incluye automáticamente cargas del empleador."
MO-OF1-MON;Oficial de 1ª montador de prefabricados interiores.;mano_obra;h;ES;EUR;21;18;25;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-AYU-ESP;Ayudante especializado.;mano_obra;h;ES;EUR;18;15;21.5;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;derivado;no_aplica;no_aplica;nacional;"Tarifa horaria derivada del punto medio entre ayudante y oficial; validar con la empresa."
MO-AYU;Ayudante.;mano_obra;h;ES;EUR;15;12;18;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;referencia;no_aplica;no_aplica;nacional;"Jornal de peón/ayudante normalizado a 8 h; tarifa facturada, no incluye automáticamente cargas del empleador."
MO-OF1-PIN;Oficial de 1ª pintor.;mano_obra;h;ES;EUR;20;16;24;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; tarifa facturada, no incluye automáticamente cargas del empleador."
MO-OF1-PLO;Oficial de 1ª plomero.;mano_obra;h;ES;EUR;23;19;27;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; tarifa facturada, no incluye automáticamente cargas del empleador."
MO-OF1-ELE;Oficial de 1ª electricista.;mano_obra;h;ES;EUR;24;20;28;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; tarifa facturada, no incluye automáticamente cargas del empleador."
MO-OF1-CAB;Oficial de 1ª cabillero (armador de acero de refuerzo).;mano_obra;h;ES;EUR;21;18;25;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-CARP;Oficial de 1ª carpintero de obra (encofrador).;mano_obra;h;ES;EUR;21;18;25;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-SOLD;Oficial de 1ª soldador.;mano_obra;h;ES;EUR;25;20;30;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; tarifa facturada, no incluye automáticamente cargas del empleador."
MO-OF1-CARPM;Oficial de 1ª carpintero de madera estructural.;mano_obra;h;ES;EUR;21;18;25;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-VIDR;Oficial de 1ª vidriero.;mano_obra;h;ES;EUR;21;18;25;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-AC;Oficial de 1ª técnico en refrigeración y climatización.;mano_obra;h;ES;EUR;21;18;25;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-JARD;Oficial de 1ª jardinero.;mano_obra;h;ES;EUR;21;18;25;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MT-ADH-C2TE;Adhesivo cementoso mejorado tipo C2 TE, de deslizamiento reducido y tiempo abierto ampliado, para colocación de porcelanato en capa fina.;materiales;kg;ES;EUR;0.36;0.24;0.48;docs/INVESTIGACION_PRECIOS_ESPANA.md;2026-08-25;referencia;no;no_confirmado;nacional;Adhesivo C2 TE saco 25 kg a 6-12 €.
