codigo_recurso;descripcion;categoria;unidad_fuente;pais_codigo;moneda;precio_referencia;precio_min;precio_max;fuente;fecha_consulta;confianza;incluye_iva;incluye_transporte;origen;observaciones
MO-OF1;Oficial de 1ª.;mano_obra;h;CO;COP;13750;11250;16250;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; no incluye automáticamente cargas del empleador."
MO-OF1;Oficial de 1ª.;mano_obra;h;PE;PEN;8.71875;8.71875;8.71875;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; no incluye automáticamente cargas del empleador."
MO-OF1;Oficial de 1ª.;mano_obra;h;MX;MXN;93.75;81.25;106.25;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; no incluye automáticamente cargas del empleador."
MO-OF1;Oficial de 1ª.;mano_obra;h;EC;USD;2.70875;2.70875;2.70875;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; no incluye automáticamente cargas del empleador."
MO-OF1-PISO;Oficial de 1ª colocador de pisos.;mano_obra;h;CO;COP;13750;11250;16250;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-PISO;Oficial de 1ª colocador de pisos.;mano_obra;h;PE;PEN;8.71875;8.71875;8.71875;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-PISO;Oficial de 1ª colocador de pisos.;mano_obra;h;MX;MXN;93.75;81.25;106.25;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-PISO;Oficial de 1ª colocador de pisos.;mano_obra;h;EC;USD;2.70875;2.70875;2.70875;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-ALI;Oficial de 1ª alicatador.;mano_obra;h;CO;COP;13750;11250;16250;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-ALI;Oficial de 1ª alicatador.;mano_obra;h;PE;PEN;8.71875;8.71875;8.71875;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-ALI;Oficial de 1ª alicatador.;mano_obra;h;MX;MXN;93.75;81.25;106.25;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-ALI;Oficial de 1ª alicatador.;mano_obra;h;EC;USD;2.70875;2.70875;2.70875;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-ALB;Oficial de 1ª albañil.;mano_obra;h;CO;COP;13750;11250;16250;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; no incluye automáticamente cargas del empleador."
MO-OF1-ALB;Oficial de 1ª albañil.;mano_obra;h;PE;PEN;8.71875;8.71875;8.71875;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; no incluye automáticamente cargas del empleador."
MO-OF1-ALB;Oficial de 1ª albañil.;mano_obra;h;MX;MXN;93.75;81.25;106.25;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; no incluye automáticamente cargas del empleador."
MO-OF1-ALB;Oficial de 1ª albañil.;mano_obra;h;EC;USD;2.70875;2.70875;2.70875;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; no incluye automáticamente cargas del empleador."
MO-OF1-MON;Oficial de 1ª montador de prefabricados interiores.;mano_obra;h;CO;COP;13750;11250;16250;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-MON;Oficial de 1ª montador de prefabricados interiores.;mano_obra;h;PE;PEN;8.71875;8.71875;8.71875;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-MON;Oficial de 1ª montador de prefabricados interiores.;mano_obra;h;MX;MXN;93.75;81.25;106.25;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-MON;Oficial de 1ª montador de prefabricados interiores.;mano_obra;h;EC;USD;2.70875;2.70875;2.70875;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-AYU-ESP;Ayudante especializado.;mano_obra;h;CO;COP;11406.25;9375;13437.5;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa horaria derivada del punto medio entre ayudante y oficial; validar con la empresa."
MO-AYU-ESP;Ayudante especializado.;mano_obra;h;PE;PEN;8.284375;8.284375;8.284375;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa horaria derivada del punto medio entre ayudante y oficial; validar con la empresa."
MO-AYU-ESP;Ayudante especializado.;mano_obra;h;MX;MXN;71.875;62.5;81.25;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa horaria derivada del punto medio entre ayudante y oficial; validar con la empresa."
MO-AYU-ESP;Ayudante especializado.;mano_obra;h;EC;USD;2.624062;2.604375;2.64375;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa horaria derivada del punto medio entre ayudante y oficial; validar con la empresa."
MO-AYU;Ayudante.;mano_obra;h;CO;COP;9062.5;7500;10625;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal de ayudante/peón normalizado a 8 h; no incluye automáticamente cargas del empleador."
MO-AYU;Ayudante.;mano_obra;h;PE;PEN;7.85;7.85;7.85;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal de ayudante/peón normalizado a 8 h; no incluye automáticamente cargas del empleador."
MO-AYU;Ayudante.;mano_obra;h;MX;MXN;50;43.75;56.25;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal de ayudante/peón normalizado a 8 h; no incluye automáticamente cargas del empleador."
MO-AYU;Ayudante.;mano_obra;h;EC;USD;2.539375;2.5;2.57875;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal de ayudante/peón normalizado a 8 h; no incluye automáticamente cargas del empleador."
MO-OF1-PIN;Oficial de 1ª pintor.;mano_obra;h;CO;COP;10937.5;8125;13750;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; no incluye automáticamente cargas del empleador."
MO-OF1-PIN;Oficial de 1ª pintor.;mano_obra;h;PE;PEN;8.71875;8.71875;8.71875;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;derivado;no_aplica;no_aplica;nacional;"Tarifa derivada del oficial general por falta de jornal local del oficio; no incluye automáticamente cargas del empleador."
MO-OF1-PIN;Oficial de 1ª pintor.;mano_obra;h;MX;MXN;87.5;75;100;docs/INVESTIGACION_PRECIOS_RONDA_5_MANO_OBRA.md;2026-08-19;referencia;no_aplica;no_aplica;nacional;"Jornal del oficio normalizado a 8 h; no incluye automáticamente cargas del empleador."
